image,price,name,location
https://upload.wikimedia.org/wikipedia/commons/8/89/Tomato_je.jpg,1.99,tomato,"535 8 Ave SE #104, Calgary, AB T2G 5S9"
https://static.wikia.nocookie.net/fruits-information/images/2/2b/Apple.jpg/revision/latest?cb=20180802112257,1.99,apple,"56307 Lily Lake Rd, Bon Accord, AB T0A 0K0"
https://www.eatingwell.com/thmb/wu-Dmj_tOxXCDcamya9aQU-5vqA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Is-It-Safe-to-Eat-Romaine-Lettuce-d78b20b0c9444d61b9d4adda8a432aba.jpg,3.25,romaine lettuce,"3630 50 Ave SE, Calgary, AB T2B 3N9"
https://specialtyproduce.com/sppics/8454.png,5.18,baby kale,"3630 50 Ave SE, Calgary, AB T2B 3N9"
https://i5.walmartimages.ca/images/Enlarge/234/6_r/6000191272346_R.jpg,1.49,orange,"3624 Burnsland Rd SE, Calgary, AB T2G 3Z2"
https://www.cartly.ca/cdn/shop/products/image_22f97cea-21d2-4d5b-95c9-1e17208ed84e.jpg?v=1647206562,5.98,grapes,"3515 26 St NE, Calgary, AB T1Y 7E3, Canada"
https://static.wixstatic.com/media/01799f_e2a4c569d0c84d1fb88247eaea10f2e9~mv2.webp,2.79,pear,"2335 Pegasus Rd NE, Calgary, AB T2E 8C3, Canada"
https://upload.wikimedia.org/wikipedia/commons/2/25/Onion_on_White.JPG,1.47,onion,"1250 McKinnon Dr NE, Calgary, AB T2E 7T7, Canada"
https://www.sunsetgrown.com/wp-content/uploads/2020/10/cucumberlanding.png,1.79,cucumber,"2231 Banff Trail NW, Calgary, AB T2M 4L2, Canada"
https://assets.shop.loblaws.ca/products/20121509001/b2/en/front/20121509001_front_a06_@2.png,2.49,mango,"2420 37 Ave NE, Calgary, AB T2E 8S6, Canada"
